Date,Open,High,Low,Close,Adj Close,Volume
2009-02-26,4.300000,4.360000,4.060000,4.160000,4.160000,2698900
2009-02-27,4.060000,4.080000,3.770000,3.810000,3.810000,5075300
2009-03-02,3.690000,3.720000,3.260000,3.290000,3.290000,9086500
2009-03-03,3.440000,3.440000,2.970000,3.020000,3.020000,6769000
2009-03-04,3.070000,3.280000,3.060000,3.190000,3.190000,6677700
2009-03-05,3.290000,3.290000,2.810000,2.840000,2.840000,7102100
2009-03-06,2.870000,3.020000,2.870000,2.960000,2.960000,6864000
2009-03-09,3.060000,3.220000,2.980000,3.060000,3.060000,8370400
2009-03-10,3.160000,3.520000,3.160000,3.450000,3.450000,8769800
2009-03-11,3.800000,3.940000,3.630000,3.840000,3.840000,12759100
2009-03-12,3.950000,4.250000,3.660000,4.180000,4.180000,6760100
2009-03-13,4.170000,4.490000,4.120000,4.290000,4.290000,4348300
2009-03-16,4.370000,4.490000,3.880000,3.920000,3.920000,5707100
2009-03-17,3.960000,4.160000,3.700000,4.150000,4.150000,3715600
2009-03-18,4.050000,4.340000,3.970000,4.240000,4.240000,5787600
2009-03-19,4.280000,4.320000,3.760000,3.770000,3.770000,4623800
2009-03-20,3.820000,3.840000,3.510000,3.560000,3.560000,3625600
2009-03-23,3.670000,3.980000,3.500000,3.980000,3.980000,6484700
2009-03-24,3.780000,4.030000,3.750000,3.850000,3.850000,3718100
2009-03-25,3.940000,4.170000,3.840000,4.070000,4.070000,5634200
2009-03-26,4.140000,4.450000,4.100000,4.360000,4.360000,7054200
2009-03-27,4.260000,4.370000,4.130000,4.160000,4.160000,2198700
2009-03-30,4.070000,4.070000,3.500000,3.840000,3.840000,2775500
2009-03-31,3.880000,3.920000,3.410000,3.650000,3.650000,8814900
2009-04-01,3.510000,3.690000,3.440000,3.640000,3.640000,8732400
2009-04-02,3.740000,4.380000,3.700000,4.350000,4.350000,8797100
2009-04-03,4.360000,4.440000,4.140000,4.410000,4.410000,5478900
2009-04-06,4.220000,4.630000,4.210000,4.410000,4.410000,6306100
2009-04-07,4.200000,4.320000,4.060000,4.160000,4.160000,5427200
2009-04-08,4.250000,4.430000,4.130000,4.410000,4.410000,4347300
2009-04-09,4.550000,4.960000,4.540000,4.930000,4.930000,5578200
2009-04-13,4.600000,4.970000,4.600000,4.930000,4.930000,7276600
2009-04-14,4.960000,4.990000,4.420000,4.590000,4.590000,6386700
2009-04-15,4.560000,5.250000,4.360000,5.150000,5.150000,8664500
2009-04-16,5.180000,5.410000,4.730000,5.360000,5.360000,8786200
2009-04-17,5.380000,5.490000,5.170000,5.410000,5.410000,3855100
2009-04-20,5.210000,5.280000,4.920000,5.100000,5.100000,4541600
2009-04-21,5.010000,5.560000,4.800000,5.470000,5.470000,4884300
2009-04-22,5.560000,6.010000,5.530000,5.580000,5.580000,6972200
2009-04-23,6.030000,6.060000,5.500000,5.650000,5.650000,6376100
2009-04-24,5.740000,5.750000,5.410000,5.530000,5.530000,6865000
2009-04-27,4.910000,5.160000,4.480000,4.980000,4.980000,13230400
2009-04-28,4.800000,5.390000,4.780000,4.940000,4.940000,10071900
2009-04-29,5.100000,5.320000,5.010000,5.150000,5.150000,5771600
2009-04-30,5.280000,5.320000,4.900000,4.930000,4.930000,14798100
2009-05-01,4.910000,5.070000,4.910000,5.030000,5.030000,4724100
2009-05-04,5.140000,5.510000,5.120000,5.500000,5.500000,6979100
2009-05-05,5.520000,6.310000,5.430000,6.050000,6.050000,12292200
2009-05-06,6.110000,6.400000,5.780000,6.040000,6.040000,9197600
2009-05-07,6.100000,6.190000,5.800000,5.850000,5.850000,6663500
2009-05-08,5.900000,6.280000,5.740000,6.230000,6.230000,8598000
2009-05-11,6.100000,6.100000,5.800000,5.960000,5.960000,5084100
2009-05-12,5.910000,6.090000,5.300000,5.370000,5.370000,9479800
2009-05-13,5.270000,5.300000,5.010000,5.090000,5.090000,6995600
2009-05-14,5.000000,5.390000,4.800000,5.200000,5.200000,8225600
2009-05-15,5.290000,5.390000,5.050000,5.060000,5.060000,3730700
2009-05-18,5.160000,5.180000,4.970000,5.160000,5.160000,4721800
2009-05-19,5.210000,5.260000,5.040000,5.100000,5.100000,6102400
2009-05-20,5.140000,5.240000,4.930000,4.950000,4.950000,4068100
2009-05-21,4.940000,5.000000,4.820000,4.910000,4.910000,5021500
2009-05-22,4.920000,4.970000,4.500000,4.570000,4.570000,7697300
2009-05-26,4.560000,4.680000,4.550000,4.660000,4.660000,6509100
2009-05-27,4.610000,4.640000,4.380000,4.390000,4.390000,10246100
2009-05-28,4.460000,4.510000,4.220000,4.300000,4.300000,8044900
2009-05-29,4.330000,4.530000,4.220000,4.530000,4.530000,5704600
2009-06-01,4.580000,4.930000,4.570000,4.860000,4.860000,5964700
2009-06-02,4.840000,5.200000,4.750000,5.030000,5.030000,7252300
2009-06-03,4.670000,4.690000,4.250000,4.290000,4.290000,28690700
2009-06-04,4.280000,4.420000,4.220000,4.420000,4.420000,53988300
2009-06-05,4.430000,4.470000,4.280000,4.360000,4.360000,19516000
2009-06-08,4.360000,4.360000,4.130000,4.260000,4.260000,15127300
2009-06-09,4.340000,4.540000,4.230000,4.490000,4.490000,15958100
2009-06-10,4.540000,4.550000,4.220000,4.320000,4.320000,14187100
2009-06-11,4.280000,4.360000,4.210000,4.260000,4.260000,9393200
2009-06-12,4.240000,4.320000,4.160000,4.200000,4.200000,6524200
2009-06-15,4.120000,4.160000,4.010000,4.140000,4.140000,10900300
2009-06-16,4.100000,4.200000,4.010000,4.020000,4.020000,10713200
2009-06-17,4.040000,4.200000,3.960000,4.130000,4.130000,8518000
2009-06-18,4.160000,4.200000,4.020000,4.200000,4.200000,5308100
2009-06-19,4.250000,4.250000,4.040000,4.100000,4.100000,7402800
2009-06-22,4.030000,4.060000,3.850000,3.880000,3.880000,8573000
2009-06-23,3.900000,3.940000,3.720000,3.780000,3.780000,9372300
2009-06-24,3.850000,4.010000,3.790000,3.970000,3.970000,5815400
2009-06-25,3.940000,4.210000,3.900000,4.140000,4.140000,8855500
2009-06-26,4.120000,4.330000,4.040000,4.310000,4.310000,20353100
2009-06-29,4.300000,4.350000,4.200000,4.320000,4.320000,4817700
2009-06-30,4.260000,4.350000,4.020000,4.270000,4.270000,8983800
2009-07-01,4.320000,4.470000,4.250000,4.360000,4.360000,7712300
2009-07-02,4.230000,4.300000,4.120000,4.190000,4.190000,6586700
2009-07-06,4.170000,4.270000,4.080000,4.140000,4.140000,8573600
2009-07-07,4.150000,4.160000,4.080000,4.100000,4.100000,6733800
2009-07-08,4.090000,4.290000,4.090000,4.180000,4.180000,10389200
2009-07-09,4.250000,4.400000,4.190000,4.290000,4.290000,6285100
2009-07-10,4.240000,4.400000,4.210000,4.360000,4.360000,5044100
